miRNAs	n_geneset	hyper_pval
dme-miR-13a-3p	2	0.4422434307752692
dme-miR-13b-3p	2	0.4422434307752692
dme-miR-308-3p	2	0.4401773096118285
dme-miR-1010-3p	0	
dme-miR-927-5p	1	0.9282267256321967
dme-miR-125-3p	3	0.3346032284100557
dme-miR-4966-5p	1	0.9585236922605895
dme-miR-990-3p	2	0.2788501585937256
dme-miR-3642-3p	3	0.33293056853757963
dme-bantam-5p	2	0.6691526254595995
dme-miR-4954-3p	1	0.6150075392264962
dme-miR-2500-3p	8	0.06474577292666653
dme-miR-4973-3p	1	0.656164900621363
dme-miR-932-3p	0	
dme-miR-277-5p	1	0.5277355772541119
dme-miR-1012-5p	0	
dme-miR-6-2-5p	0	
dme-miR-6-3-5p	0	
dme-miR-308-5p	0	
dme-miR-2a-2-5p	1	0.658283644654268
dme-miR-990-5p	0	
dme-miR-4961-5p	0	
dme-miR-3-5p	2	0.35119912807751014
dme-miR-4944-5p	5	0.0618972052658894
dme-miR-958-3p	0	
dme-miR-998-5p	2	0.4741059978188435
dme-miR-284-3p	0	
dme-miR-977-3p	0	
dme-miR-969-3p	2	0.3592201787207533
dme-miR-959-5p	1	0.6304938753959014
dme-miR-2498-3p	1	0.6357712032006532
dme-miR-3641-3p	1	0.8447121037699293
dme-miR-967-5p	0	
dme-miR-12-3p	0	
dme-miR-9388-3p	0	
dme-miR-303-5p	2	0.6076043497284584
dme-miR-iab-8-5p	0	
dme-miR-964-5p	3	0.40081131290143207
dme-miR-2496-5p	3	0.1223833906469678
dme-miR-2282-3p	0	
dme-miR-2499-5p	1	0.6165838226069199
dme-miR-4986-3p	0	
dme-miR-219-3p	2	0.2721699422015611
dme-miR-9369-5p	0	
dme-miR-992-3p	4	0.053108908166572905
dme-miR-983-3p	3	0.28851172029475003
dme-miR-4972-3p	2	0.710104958875258
dme-miR-2491-3p	0	
dme-miR-87-3p	1	0.7384065844999367
dme-miR-11-5p	1	0.768711157868924
dme-miR-316-3p	0	
dme-miR-34-3p	0	
dme-miR-932-5p	1	0.849584751081437
dme-miR-281-1-5p	1	0.6327645282699517
dme-miR-2281-3p	4	0.081599680489508
