miRNAs	n_geneset	hyper_pval
dme-miR-317-3p	0	
dme-miR-4943-3p	0	
dme-miR-278-3p	0	
dme-miR-4941-3p	1	0.4366339979903674
dme-miR-3-3p	0	
dme-miR-309-3p	0	
dme-miR-318-3p	0	
dme-miR-966-3p	0	
dme-miR-2497-5p	2	0.38038485342127626
dme-miR-312-5p	0	
dme-miR-1009-3p	0	
dme-miR-9381-5p	0	
dme-miR-9380-3p	0	
dme-miR-14-3p	0	
dme-miR-2a-3p	0	
dme-miR-2b-3p	0	
dme-miR-2c-3p	0	
dme-miR-5-3p	0	
dme-miR-6-3p	0	
dme-miR-11-3p	0	
dme-miR-13a-3p	0	
dme-miR-13b-3p	0	
dme-miR-308-3p	0	
dme-miR-1010-3p	1	0.431320724403083
dme-miR-927-5p	5	0.03734633844707321
dme-miR-125-3p	1	0.8052274712919052
dme-miR-4966-5p	7	0.005270784765032539
dme-miR-990-3p	1	0.5579276206923374
dme-miR-3642-3p	1	0.8042609399331436
dme-bantam-5p	4	0.08776419516826893
dme-miR-4954-3p	0	
dme-miR-2500-3p	8	0.013508976797593494
dme-miR-4973-3p	2	0.1909930864849239
dme-miR-932-3p	0	
dme-miR-277-5p	1	0.43839458445559976
dme-miR-1012-5p	0	
dme-miR-6-2-5p	1	0.4650241843923669
dme-miR-6-3-5p	1	0.3918252717561817
dme-miR-308-5p	0	
dme-miR-2a-2-5p	1	0.5621100860995246
dme-miR-990-5p	1	0.37744487645946717
dme-miR-4961-5p	1	0.5993751132527327
dme-miR-3-5p	4	0.013215887396637196
dme-miR-4944-5p	2	0.5097065798095554
dme-miR-958-3p	2	0.2698288250594216
dme-miR-998-5p	2	0.344862071561129
dme-miR-284-3p	1	0.6131737822219172
dme-miR-977-3p	0	
dme-miR-969-3p	1	0.628305867711566
dme-miR-959-5p	0	
dme-miR-2498-3p	1	0.5400886582067724
dme-miR-3641-3p	3	0.15632335759813087
dme-miR-967-5p	0	
dme-miR-12-3p	0	
dme-miR-9388-3p	2	0.21337567576121003
dme-miR-303-5p	1	0.8000197363278023
dme-miR-iab-8-5p	3	0.09906535359893685
dme-miR-964-5p	4	0.09159780895714223
dme-miR-2496-5p	3	0.0658391706244723
dme-miR-2282-3p	1	0.4436450360472072
dme-miR-2499-5p	2	0.16199664995056265
dme-miR-4986-3p	0	
dme-miR-219-3p	3	0.04178945125793373
dme-miR-9369-5p	0	
dme-miR-992-3p	2	0.30543985178204347
dme-miR-983-3p	1	0.7767404823500761
dme-miR-4972-3p	4	0.10850608444794206
dme-miR-2491-3p	1	0.8674514912612024
dme-miR-87-3p	0	
dme-miR-11-5p	1	0.6756581054410153
dme-miR-316-3p	1	0.46081179715879655
dme-miR-34-3p	0	
dme-miR-932-5p	4	0.04742217031783608
dme-miR-281-1-5p	1	0.5371717206260899
dme-miR-2281-3p	2	0.3702953874544839
dme-miR-958-5p	2	0.2784447048824619
dme-miR-9382-3p	1	0.20254359329220722
dme-miR-4915-5p	2	0.3306255695655585
dme-miR-962-5p	3	0.0856684453681906
dme-miR-31a-5p	1	0.5031216126787073
dme-miR-31b-5p	1	0.49444341959420035
dme-miR-9384-5p	0	
dme-miR-305-3p	0	
dme-miR-275-5p	1	0.32922547843069394
dme-miR-4952-5p	0	
dme-miR-193-3p	3	0.008468300612714572
dme-miR-288-3p	4	0.05965787314507684
dme-miR-2b-1-5p	5	0.022561652688656553
dme-miR-2b-2-5p	5	0.02208813790742475
dme-miR-4908-3p	1	0.6535820998507295
dme-miR-4956-5p	1	0.44451556486708194
dme-miR-2a-2/2c	0	
dme-miR-1008-3p	0	
dme-miR-4964-3p	0	
dme-miR-279-5p	1	0.7778356950952056
