miRNAs	n_geneset	hyper_pval
dme-miR-2498-3p	0	
dme-miR-3641-3p	0	
dme-miR-967-5p	0	
dme-miR-12-3p	0	
dme-miR-9388-3p	0	
dme-miR-303-5p	2	0.12235279336185936
dme-miR-iab-8-5p	0	
dme-miR-964-5p	2	0.1505938144429449
dme-miR-2496-5p	1	0.32117261169052175
dme-miR-2282-3p	0	
dme-miR-2499-5p	0	
dme-miR-4986-3p	0	
dme-miR-219-3p	1	0.2743323060034823
dme-miR-9369-5p	0	
dme-miR-992-3p	1	0.36656997057056984
dme-miR-983-3p	3	0.0159431090709239
dme-miR-4972-3p	0	
dme-miR-2491-3p	0	
dme-miR-87-3p	0	
dme-miR-11-5p	0	
dme-miR-316-3p	0	
dme-miR-34-3p	0	
dme-miR-932-5p	0	
dme-miR-281-1-5p	0	
dme-miR-2281-3p	1	0.41158575419165166
dme-miR-958-5p	0	
dme-miR-9382-3p	0	
dme-miR-4915-5p	0	
dme-miR-962-5p	0	
dme-miR-31a-5p	0	
dme-miR-31b-5p	0	
dme-miR-9384-5p	0	
dme-miR-305-3p	0	
dme-miR-275-5p	0	
dme-miR-4952-5p	0	
dme-miR-193-3p	0	
dme-miR-288-3p	1	0.46723984232030275
dme-miR-2b-1-5p	0	
dme-miR-2b-2-5p	0	
dme-miR-4908-3p	0	
dme-miR-4956-5p	0	
dme-miR-2a-2/2c	0	
dme-miR-1008-3p	0	
dme-miR-4964-3p	0	
dme-miR-279-5p	2	0.10957448815863988
dme-miR-4987-5p	0	
dme-miR-996-5p	0	
dme-miR-4962-5p	0	
dme-miR-14-5p	0	
dme-miR-985-5p	0	
dme-miR-92a-3p	0	
dme-miR-92b-3p	0	
dme-miR-310-3p	0	
dme-miR-311-3p	0	
dme-miR-312-3p	0	
dme-miR-313-3p	0	
dme-miR-1007-5p	0	
dme-miR-4918-5p	0	
dme-miR-4912-5p	0	
dme-miR-304-5p	0	
dme-miR-971-5p	0	
dme-miR-125-5p	0	
dme-miR-976-3p	1	0.5478869134943709
dme-miR-993-3p	0	
dme-miR-988-3p	0	
dme-miR-252-3p	2	0.0546975050195304
dme-miR-1015-3p	0	
dme-miR-313-5p	1	0.3272135456186873
dme-miR-iab-4-3p	0	
dme-miR-4970-5p	1	0.2040133554740385
dme-miR-4962-3p	0	
dme-miR-4957-5p	0	
dme-miR-4940-3p	0	
dme-miR-975-5p	0	
dme-miR-13b-2-5p	0	
dme-miR-983-5p	0	
dme-miR-375-3p	2	0.2150282469241299
dme-miR-4957-3p	0	
dme-miR-4919-5p	0	
dme-miR-9376-5p	0	
dme-miR-984-3p	0	
dme-miR-980-3p	0	
dme-miR-4968-5p	0	
dme-miR-4976-3p	0	
dme-miR-307a-5p	0	
dme-miR-9383-5p	0	
dme-miR-190-3p	0	
dme-miR-979-3p	0	
dme-miR-9376-3p	0	
dme-miR-976-5p	0	
dme-miR-306-5p	0	
dme-miR-9380-5p	0	
dme-miR-4981-3p	0	
dme-miR-4942-3p	0	
dme-miR-9375-3p	0	
dme-miR-4948-5p	0	
dme-miR-974-5p	0	
dme-miR-276a-5p	0	
dme-miR-276b-5p	0	
dme-miR-2535b-3p	0	
dme-miR-970-5p	0	
dme-miR-282-3p	0	
dme-miR-307b-5p	0	
dme-miR-2490-5p	0	
dme-miR-9370-3p	0	
dme-miR-9385-3p	0	
dme-miR-286-5p	0	
dme-miR-219-5p	0	
dme-miR-1010-5p	1	0.3416889557126638
dme-miR-184-5p	2	0.08163961579933231
dme-miR-929-3p	0	
dme-miR-100-3p	0	
dme-miR-4971-5p	0	
dme-miR-311-5p	0	
dme-miR-1016-3p	0	
dme-miR-991-5p	1	0.3168286520861501
dme-miR-969-5p	1	0.2576343452062849
dme-miR-306-3p	0	
dme-miR-4951-5p	2	0.00869264943364419
dme-miR-999-5p	0	
dme-miR-184-3p	0	
dme-miR-92a-5p	0	
dme-miR-4969-3p	0	
dme-miR-2496-3p	0	
dme-miR-963-5p	0	
dme-miR-275-3p	0	
dme-miR-375-5p	0	
dme-miR-307b-3p	0	
dme-miR-960-3p	0	
dme-miR-1007-3p	0	
dme-miR-992-5p	0	
dme-miR-4987-3p	0	
dme-miR-9385-5p	0	
dme-miR-982-5p	0	
dme-miR-2495-3p	0	
dme-miR-4952-3p	0	
dme-miR-994-5p	0	
dme-miR-2500-5p	0	
dme-miR-87-5p	0	
dme-miR-282-5p	0	
dme-miR-4954-5p	0	
dme-miR-957-3p	0	
dme-miR-4974-5p	0	
dme-miR-4941-5p	0	
dme-miR-986-3p	0	
dme-miR-285-3p	0	
dme-miR-995-3p	0	
dme-miR-998-3p	0	
dme-miR-100-5p	1	0.04528253305313316
