"miRNAs"	"n_geneset"	"hyper_pval"	"rFDRc_q"
"dme-miR-3645-5p"	1	0.353404509156098	0.533642545345584
"dme-miR-9373-5p"	2	0.357421264993596	0.534220942599016
"dme-miR-2490-3p"	1	0.36083923092714	0.534500690383156
"dme-miR-3642-5p"	1	0.361250068634541	0.535642211964831
"dme-miR-960-5p"	1	0.36656997057057	0.535975354415962
"dme-miR-992-3p"	1	0.36656997057057	0.535975354415962
"dme-miR-12-5p"	1	0.367792119996115	0.536825711578538
"dme-miR-277-3p"	2	0.36821727861469	0.537063067480396
"dme-miR-968-5p"	1	0.371446197527751	0.537461063301116
"dme-miR-iab-8-3p"	1	0.394946374532986	0.538329236142309
"dme-miR-2493-3p"	1	0.397682842566143	0.538840498934671
"dme-miR-309-5p"	1	0.400408475294173	0.539271628754888
"dme-miR-977-5p"	1	0.401961129064163	0.539845157461242
"dme-miR-274-3p"	2	0.404668835595866	0.54051046197615
"dme-miR-999-3p"	1	0.406212801668718	0.540632037052659
"dme-miR-193-5p"	1	0.407367748489458	0.541013093101916
"dme-miR-973-5p"	1	0.40928829215358	0.54210779248412
"dme-miR-954-3p"	1	0.411203387680697	0.542448948685064
"dme-miR-4966-3p"	1	0.411585754191652	0.543851833773374
"dme-miR-2281-3p"	1	0.411585754191652	0.543851833773374
"dme-miR-961-3p"	2	0.413879180265981	0.544466802274149
"dme-miR-3641-5p"	1	0.416536783868215	0.544814928369006
"dme-miR-981-3p"	1	0.416536783868215	0.544814928369006
"dme-miR-1000-3p"	1	0.417295236186317	0.545092075364073
"dme-miR-994-3p"	1	0.427450236188222	0.546802492941249
"dme-miR-982-3p"	1	0.43487228959912	0.547109540004164
"dme-miR-274-5p"	1	0.435241171921083	0.547633091655584
"dme-miR-210-3p.1"	1	0.441845123082189	0.548211719259398
"dme-miR-4909-3p"	2	0.446360865304557	0.549569196859294
"dme-miR-8-5p"	1	0.450905146356616	0.552783523392907
"dme-miR-288-3p"	1	0.467239842320303	0.55698695627048
"dme-miR-988-5p"	1	0.474554513446045	0.561671466649675
"dme-miR-125-3p"	1	0.480068464169319	0.564765986279676
"dme-miR-4979-3p"	1	0.487906052987797	0.570083194384128
"dme-miR-4969-5p"	1	0.494971627351579	0.575134915536375
"dme-miR-9c-3p"	1	0.504588558148355	0.582908531430637
"dme-miR-2497-3p"	1	0.508847318106021	0.585631103390978
"dme-miR-316-5p"	1	0.524613047229343	0.588318364694649
"dme-miR-9372-5p"	1	0.528090798411867	0.590970997823394
"dme-miR-3645-3p"	1	0.546062423192266	0.59358966778459
"dme-miR-976-3p"	1	0.547886913494371	0.596175022666926
"dme-miR-2489-5p"	1	0.548493649383209	0.598727694175019
"dme-miR-283-3p"	1	0.550913474303609	0.601248298143884
"dme-miR-4-3p"	1	0.553922292245728	0.603737435034139
"dme-miR-2281-5p"	1	0.563726621638253	0.606195690408785
"dme-miR-1011-3p"	1	0.564608501361547	0.608623635392351
"dme-miR-9388-5p"	2	0.565901276900814	0.611021827113167
"dme-miR-4977-5p"	2	0.582365819837221	0.613390809129474
"dme-miR-4963-5p"	1	0.58979271954364	0.615731111840064
"dme-miR-283-5p"	1	0.611837481173378	0.618043252880105
"dme-miR-972-3p"	1	0.632838586165791	0.620327737502754
"dme-miR-967-3p"	1	0.645790566936115	0.622585058947169
"dme-miR-4-5p"	1	0.679370082177633	0.624815698793469
"dme-miR-3644-3p"	1	0.679819241907765	0.627020127305185
"dme-miR-987-5p"	1	0.68161038011939	0.629198803759714
"dme-miR-4974-3p"	2	0.697266898286841	0.631352176767259
"dme-miR-991-3p"	1	0.704946917620237	0.633480684578719
"dme-miR-2501-5p"	1	0.725009639435241	0.635584755382986
"dme-miR-1014-3p"	1	0.731041382844843	0.637664807594053
"dme-miR-1000-5p"	1	0.743683700476099	0.639721250128353
"dme-miR-315-5p"	1	0.833156352615724	0.64175448267271
"dme-miR-4911-3p"	1	0.834546971801754	0.64376489594326
"dme-miR-4946-5p"	1	0.847319117330797	0.645135543669983
